X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
121.4491,31.2020000000001,138,Shanghai,China,2022/04/30 11:21:00+00,31.202,121.4491,56302,0,344,0,,,"Shanghai, China"
112.2922,37.5777000000001,139,Shanxi,China,2022/04/30 11:21:00+00,37.5777,112.2922,418,0,0,0,,,"Shanxi, China"
102.7103,30.6171000000001,140,Sichuan,China,2022/04/30 11:21:00+00,30.6171,102.7103,2042,0,3,0,,,"Sichuan, China"
117.323,39.3054000000001,141,Tianjin,China,2022/04/30 11:21:00+00,39.3054,117.323,1803,0,3,0,,,"Tianjin, China"
88.0924000000001,31.6927000000001,142,Tibet,China,2022/04/30 11:21:00+00,31.6927,88.0924,1,0,0,0,,,"Tibet, China"
,,143,Unknown,China,2022/04/30 11:21:00+00,,,736614,0,0,0,,,"Unknown, China"
85.2401,41.1129,144,Xinjiang,China,2022/04/30 11:21:00+00,41.1129,85.2401,1001,0,3,0,,,"Xinjiang, China"
101.487,24.974,145,Yunnan,China,2022/04/30 11:21:00+00,24.974,101.487,2119,0,2,0,,,"Yunnan, China"
120.0934,29.1832000000001,146,Zhejiang,China,2022/04/30 11:21:00+00,29.1832,120.0934,3109,0,1,0,,,"Zhejiang, China"
-71.5724,-1.44289999999995,147,Amazonas,Colombia,2022/04/30 11:21:00+00,-1.4429,-71.5724,7571,0,265,0,,,"Amazonas, Colombia"
-75.3412,7.19860000000006,148,Antioquia,Colombia,2022/04/30 11:21:00+00,7.1986,-75.3412,918661,0,18261,0,,,"Antioquia, Colombia"
-70.7105,7.07620000000003,149,Arauca,Colombia,2022/04/30 11:21:00+00,7.0762,-70.7105,16321,0,534,0,,,"Arauca, Colombia"
-74.8740999999999,10.6966,150,Atlantico,Colombia,2022/04/30 11:21:00+00,10.6966,-74.8741,402427,0,10129,0,,,"Atlantico, Colombia"
-74.03,8.67040000000003,151,Bolivar,Colombia,2022/04/30 11:21:00+00,8.6704,-74.03,197365,0,3241,0,,,"Bolivar, Colombia"
-73.362,5.45450000000005,152,Boyaca,Colombia,2022/04/30 11:21:00+00,5.4545,-73.362,125245,0,2785,0,,,"Boyaca, Colombia"
-75.2479,5.29830000000004,153,Caldas,Colombia,2022/04/30 11:21:00+00,5.2983,-75.2479,116944,0,2525,0,,,"Caldas, Colombia"
-74.0721,4.71100000000007,154,Capital District,Colombia,2022/04/30 11:21:00+00,4.711,-74.0721,1769089,0,29365,0,,,"Capital District, Colombia"
-73.8419,0.8699,155,Caqueta,Colombia,2022/04/30 11:21:00+00,0.8699,-73.8419,24987,0,1026,0,,,"Caqueta, Colombia"
-71.5724,5.75890000000004,156,Casanare,Colombia,2022/04/30 11:21:00+00,5.7589,-71.5724,41708,0,1002,0,,,"Casanare, Colombia"
-76.826,2.70500000000004,157,Cauca,Colombia,2022/04/30 11:21:00+00,2.705,-76.826,72298,0,1792,0,,,"Cauca, Colombia"
-73.6536,9.33730000000003,158,Cesar,Colombia,2022/04/30 11:21:00+00,9.3373,-73.6536,106532,0,2672,0,,,"Cesar, Colombia"
-76.826,5.25280000000004,159,Choco,Colombia,2022/04/30 11:21:00+00,5.2528,-76.826,18586,0,429,0,,,"Choco, Colombia"
-75.574,8.04930000000007,160,Cordoba,Colombia,2022/04/30 11:21:00+00,8.0493,-75.574,119071,0,3931,0,,,"Cordoba, Colombia"
-74.03,5.02600000000007,161,Cundinamarca,Colombia,2022/04/30 11:21:00+00,5.026,-74.03,318345,0,7286,0,,,"Cundinamarca, Colombia"
-68.5246999999999,2.58540000000005,162,Guainia,Colombia,2022/04/30 11:21:00+00,2.5854,-68.5247,2765,0,37,0,,,"Guainia, Colombia"
-73.2603,1.06540000000007,163,Guaviare,Colombia,2022/04/30 11:21:00+00,1.0654,-73.2603,5589,0,105,0,,,"Guaviare, Colombia"
-75.5277,2.53590000000003,164,Huila,Colombia,2022/04/30 11:21:00+00,2.5359,-75.5277,100352,0,3514,0,,,"Huila, Colombia"
-72.5205,11.3548000000001,165,La Guajira,Colombia,2022/04/30 11:21:00+00,11.3548,-72.5205,56347,0,1529,0,,,"La Guajira, Colombia"
-74.4057,10.4113,166,Magdalena,Colombia,2022/04/30 11:21:00+00,10.4113,-74.4057,114962,0,3623,0,,,"Magdalena, Colombia"
-73.0877,3.27200000000005,167,Meta,Colombia,2022/04/30 11:21:00+00,3.272,-73.0877,105032,0,2541,0,,,"Meta, Colombia"
-77.3579,1.28920000000005,168,Narino,Colombia,2022/04/30 11:21:00+00,1.2892,-77.3579,104413,0,3315,0,,,"Narino, Colombia"
-72.8987999999999,7.94630000000006,169,Norte de Santander,Colombia,2022/04/30 11:21:00+00,7.9463,-72.8988,119806,0,5103,0,,,"Norte de Santander, Colombia"
-75.5277,0.436,170,Putumayo,Colombia,2022/04/30 11:21:00+00,0.436,-75.5277,20508,0,776,0,,,"Putumayo, Colombia"
-75.6674,4.46100000000007,171,Quindio,Colombia,2022/04/30 11:21:00+00,4.461,-75.6674,70821,0,2055,0,,,"Quindio, Colombia"
-75.9928,5.31580000000002,172,Risaralda,Colombia,2022/04/30 11:21:00+00,5.3158,-75.9928,106410,0,2469,0,,,"Risaralda, Colombia"
-81.7184999999999,12.5567,173,San Andres y Providencia,Colombia,2022/04/30 11:21:00+00,12.5567,-81.7185,10198,0,155,0,,,"San Andres y Providencia, Colombia"
-73.6536,6.64370000000002,174,Santander,Colombia,2022/04/30 11:21:00+00,6.6437,-73.6536,283643,0,8175,0,,,"Santander, Colombia"
-74.7232999999999,8.81400000000002,175,Sucre,Colombia,2022/04/30 11:21:00+00,8.814,-74.7233,65701,0,1715,0,,,"Sucre, Colombia"
-75.1545,4.09250000000003,176,Tolima,Colombia,2022/04/30 11:21:00+00,4.0925,-75.1545,124504,0,4008,0,,,"Tolima, Colombia"
,,177,Unknown,Colombia,2022/04/30 11:21:00+00,,,0,0,300,0,,,"Unknown, Colombia"
-76.6412999999999,3.80090000000007,178,Valle del Cauca,Colombia,2022/04/30 11:21:00+00,3.8009,-76.6413,540913,0,15046,0,,,"Valle del Cauca, Colombia"
-70.812,0.8554,179,Vaupes,Colombia,2022/04/30 11:21:00+00,0.8554,-70.812,1889,0,22,0,,,"Vaupes, Colombia"
